,Price (USD),Replies,Likes,Retweets,Tweets
2020-07-25,9707.1,8785.0,57058.0,14978.0,11497.0
2020-07-26,9954.2,7231.0,56987.0,11982.0,12057.0
2020-07-27,11277.0,17193.0,164430.0,28408.0,20800.0
2020-07-28,10954.0,12460.0,91353.0,20269.0,16934.0
2020-07-29,11284.0,8580.0,72825.0,15292.0,13817.0
2020-07-30,11123.84092289,9586.0,66629.0,14807.0,12915.0
2020-07-31,11309.0,6921.0,63634.0,13333.0,12960.0
2020-08-01,11757.0,8920.0,103284.0,17236.0,14064.0
2020-08-02,11113.33845095,9487.0,70740.0,13169.0,14280.0
2020-08-03,11201.0,7831.0,60359.0,13446.0,12601.0
2020-08-04,11204.0,7533.0,58818.0,13002.0,12589.0
2020-08-05,11649.57654183,16216.0,76290.0,21623.0,15030.0
2020-08-06,11754.88684994,10419.0,76398.0,21628.0,15589.0
2020-08-07,11609.0,8405.0,58135.0,13373.0,16948.0
2020-08-08,11723.0,8763.0,46454.0,14050.0,12525.0
2020-08-09,11657.53605986,7033.0,43854.0,10603.0,12890.0
2020-08-10,11812.0,9255.0,91111.0,18390.0,16939.0
2020-08-11,11326.0,9783.0,79828.0,19400.0,16409.0
2020-08-12,,8266.0,66086.0,15032.0,15901.0
2020-08-13,11775.02047389,9493.0,81324.0,15431.0,14502.0
2020-08-14,11768.34176,12418.0,98149.0,27503.0,14989.0
2020-08-15,11906.0,10700.0,72773.0,15716.0,13566.0
2020-08-16,11905.0,6753.0,48547.0,10761.0,12473.0
2020-08-17,12389.0,12469.0,105989.0,20231.0,17935.0
2020-08-18,12058.96393587,10407.0,71982.0,16611.0,15964.0
2020-08-19,11787.91304733,7350.0,63917.0,12847.0,15181.0
2020-08-20,11833.677744,11686.0,63360.0,15156.0,14381.0
2020-08-21,11571.0,10055.0,61062.0,11889.0,15801.0
2020-08-22,11668.0,7483.0,56858.0,11555.0,12505.0
2020-08-23,11660.47755554,6600.0,37161.0,9127.0,13590.0
2020-08-24,11759.0,6916.0,55901.0,12835.0,15396.0
2020-08-25,11381.0,11038.0,60889.0,14694.0,15196.0
2020-08-26,11454.53216,7483.0,54169.0,12982.0,13996.0
2020-08-27,11281.0,11806.0,66364.0,16732.0,14656.0
2020-08-28,11491.92088197,7488.0,50975.0,13571.0,15596.0
2020-08-29,11522.0,4660.0,39009.0,11397.0,12748.0
2020-08-30,11672.0,4977.0,37252.0,9665.0,11460.0
2020-08-31,11699.0,7054.0,51892.0,13964.0,13593.0
2020-09-01,11979.9737595,6671.0,63399.0,16799.0,14732.0
2020-09-02,11445.0,7432.0,54222.0,11529.0,15348.0
2020-09-03,10682.0,9702.0,67268.0,14202.0,15490.0
2020-09-04,10548.0,10877.0,74440.0,14552.0,16321.0
2020-09-05,10052.67015712,7061.0,52185.0,9543.0,12778.0
2020-09-06,10219.0,4769.0,35313.0,7003.0,11065.0
2020-09-07,10403.05484743,10025.0,73430.0,14007.0,13469.0
2020-09-08,10081.0,11022.0,75578.0,28735.0,16274.0
2020-09-09,10296.0,6873.0,49285.0,13369.0,16015.0
2020-09-10,10350.0,6666.0,61906.0,15745.0,14706.0
2020-09-11,10392.0,6318.0,56650.0,13661.0,13252.0
2020-09-12,10452.631728,6849.0,47643.0,15672.0,11522.0
2020-09-13,10307.03131201,4871.0,34720.0,6788.0,10799.0
2020-09-14,10673.0,6883.0,52683.0,13726.0,13698.0
2020-09-15,10827.674234,16296.0,70630.0,30488.0,14621.0
2020-09-16,11041.0,8964.0,66168.0,15279.0,14667.0
2020-09-17,10941.0,8292.0,74673.0,15156.0,14147.0
2020-09-18,10948.88524001,18278.0,97425.0,22002.0,13829.0
2020-09-19,11071.0,6716.0,48986.0,9520.0,12004.0
2020-09-20,10889.64975566,8008.0,50449.0,11852.0,11419.0
2020-09-21,10516.0,12863.0,63907.0,14698.0,14917.0
2020-09-22,10530.0,11696.0,57639.0,15741.0,13495.0
2020-09-23,10291.0,8789.0,58442.0,14875.0,13463.0
2020-09-24,10726.0,9030.0,65712.0,16630.0,13322.0
2020-09-25,10720.0,7902.0,48429.0,11995.0,12498.0
2020-09-26,10760.0,5521.0,53277.0,9524.0,10433.0
2020-09-27,10774.0,10221.0,50554.0,20750.0,13733.0
2020-09-28,10881.06778692,9514.0,59358.0,22844.0,14029.0
2020-09-29,10770.872103,8193.0,50239.0,19761.0,14257.0
2020-09-30,10756.0,10050.0,65056.0,22559.0,18268.0
2020-10-01,10636.0,12908.0,70954.0,18619.0,21285.0
2020-10-02,10566.53893952,10711.0,68991.0,23737.0,22708.0
2020-10-03,10561.0,6451.0,46613.0,12021.0,17156.0
2020-10-04,10670.0,7626.0,47749.0,13779.0,13105.0
