Date,Price (USD)
11/16/20,73.7
11/17/20,76.318
11/18/20,73.703
11/19/20,81.314
11/20/20,82.665
11/21/20,87.068
11/22/20,83.015
11/23/20,88.45
11/24/20,88.932
11/25/20,82.54
11/26/20,70.812
11/27/20,69.074
11/28/20,72.408
11/29/20,79.383
11/30/20,87.888
12/1/20,85.676
12/2/20,89.241
12/3/20,88.998
12/4/20,79.784
12/5/20,82.861
12/6/20,83.475
12/7/20,83.89
12/8/20,76.891
12/9/20,77.487
12/10/20,75.08
12/11/20,72.181
12/12/20,76.755
12/13/20,82.36
12/14/20,82.48
12/15/20,81.525
12/16/20,92.442
12/17/20,101.76
12/18/20,108.66
12/19/20,120.29
12/20/20,114.96
12/21/20,104.89
12/22/20,113.52
12/23/20,103.27
12/24/20,111.52
12/25/20,128.11
12/26/20,129.49
12/27/20,128.54
12/28/20,130.5
12/29/20,129.15
12/30/20,129.06
12/31/20,124.58
1/1/21,125.88
1/2/21,137.15
1/3/21,161.71
1/4/21,154.85
1/5/21,158.8
1/6/21,168.77
1/7/21,167.99
1/8/21,172.28
1/9/21,178
1/10/21,171.47
1/11/21,139
1/12/21,132.99
1/13/21,146.29
1/14/21,152.02
1/15/21,144.17
1/16/21,144.34
1/17/21,143.21
1/18/21,152.2
1/19/21,155.42
1/20/21,149.93
1/21/21,132.07
1/22/21,137.94
1/23/21,137.62
1/24/21,141.99
1/25/21,137.65
1/26/21,134.98
1/27/21,122.3
1/28/21,133.05
1/29/21,135.35
1/30/21,133.95
1/31/21,130.06
2/1/21,132.73
2/2/21,143.4
2/3/21,155.14
2/4/21,145.31
2/5/21,154.46
2/6/21,155.73
2/7/21,151.33
2/8/21,167.63
2/9/21,183.22
2/10/21,182.3
2/11/21,184.98
2/12/21,197.08
2/13/21,227.68
2/14/21,215.82
2/15/21,206.57
2/16/21,210.05
2/17/21,235.86
2/18/21,227.3
2/19/21,236.79
2/20/21,225.45
2/21/21,227.03
2/22/21,207.25
2/23/21,174.51
2/24/21,181.02
2/25/21,180.7
2/26/21,169.72
2/27/21,172.25
2/28/21,165.09
3/1/21,175.97
3/2/21,177.69
3/3/21,190.21
3/4/21,180.98
3/5/21,180.35
3/6/21,182.83
3/8/21,192.12
3/9/21,203.69
3/10/21,200.98
3/11/21,201.4
3/12/21,220.57
3/13/21,226.69
3/14/21,217.44
3/15/21,200.26
3/16/21,200.51
3/17/21,204.19
3/18/21,200.36
3/19/21,200.82
3/20/21,201.47
3/21/21,196.65
3/22/21,186.78
3/23/21,185.45
3/24/21,176.8
3/25/21,172.45
3/26/21,182.3
3/27/21,185.2
3/28/21,183.1
3/29/21,194.71
3/30/21,194.49
3/31/21,195.32
4/1/21,201.88
4/2/21,207.22
4/3/21,199.38
4/4/21,201.51
4/5/21,221.41
4/6/21,238.65
4/7/21,223.71
4/8/21,226.24
4/9/21,222.48
4/10/21,245.77
4/11/21,249.49
4/12/21,246.64
4/13/21,263.47
4/14/21,275.9
4/15/21,287.13
4/16/21,308.51
4/17/21,311.28
4/18/21,275.61
4/19/21,266.02
4/20/21,262.02
4/21/21,258.85
4/22/21,252.27
4/23/21,235.99
4/24/21,230.24
4/25/21,219.09
4/26/21,243.12
4/27/21,258.03
4/28/21,257.44
4/29/21,254.01
4/30/21,269.97
5/1/21,272.73
5/2/21,267.4
5/3/21,294.01
5/4/21,306.5
5/5/21,354.44
5/6/21,342.26
5/7/21,334.48
5/8/21,348.84
5/9/21,384.28
5/10/21,370.12
5/11/21,371.26
5/12/21,343.3
5/13/21,309.7
5/14/21,325.93
5/15/21,309.23
5/16/21,291.46
5/17/21,274.76
5/18/21,298.58
5/19/21,207.83
5/20/21,206.72
5/21/21,175.85
5/22/21,172.75
5/23/21,141.93
5/24/21,176.74
5/25/21,182.08
5/26/21,194.34
5/27/21,194.44
5/28/21,173.24
5/29/21,161.88
5/30/21,171.73
5/31/21,184.69
6/1/21,180.92
6/2/21,185.91
6/3/21,191.86
6/4/21,180.84
6/5/21,170.52
6/6/21,173.5
6/7/21,165.23
6/8/21,160.17
6/9/21,171.29
6/10/21,168.2
6/11/21,163.46
6/12/21,162.54
6/13/21,170.84
6/14/21,175.65
6/15/21,175.41
6/16/21,166.87
6/17/21,165.24
6/18/21,155.15
6/19/21,154.14
6/20/21,155.74
6/21/21,126.15
6/22/21,118.96
6/23/21,127.17
6/24/21,134.01
6/25/21,125
6/26/21,124.38
6/27/21,131.12
6/28/21,137.51
6/29/21,145.48
6/30/21,143.61
7/1/21,138.46
7/2/21,135.63
7/3/21,138.63
7/4/21,144.96
7/5/21,139.53
7/6/21,138.39
7/7/21,138.43
7/8/21,130.07
7/9/21,134.87
7/10/21,133.38
7/11/21,134.65
7/12/21,133.41
7/13/21,130.1
7/14/21,131.96
7/15/21,125.41
7/16/21,122.61
7/17/21,120.57
7/18/21,118.22
7/19/21,113.91
7/20/21,106.95
7/21/21,117.4
7/22/21,120.19
7/23/21,122.24
7/24/21,124.62
7/25/21,125.07
7/26/21,132.32
7/27/21,135.13
7/28/21,139.12
7/29/21,140.75
7/30/21,144.56
7/31/21,145.36
8/1/21,143.1
